tName,fName,lName,birthday,managerID
ATL,Adam,Smith,4/13/1981,1
BOS,Benjamin,Johnson,3/16/1962,2
BKN,Charles,Williams,7/10/1951,3
CHA,Ethan,Jones,9/20/1982,4
CHI,David,Brown,1/21/1980,5
CLE,Frederick,Miller,4/9/1971,6
DAL,Gregory,Garcia,2/22/1990,7
DEN,Henry,Rodriguez,7/19/1963,8
DET,Isaac,Martinez,4/11/1958,9
GSW,Joseph,Hernandez,10/16/1972,10
HOU,Kyle,Lee,4/25/1971,11
IND,Lucas,Walker,8/5/1981,12
LAC,Matthew,Perez,8/7/1978,13
LAL,Nathan,Hall,10/6/1967,14
MEM,Owen,Young,6/17/1962,15
MIA,Patrick,Allen,5/9/1989,16
MIL,Quentin,Sanchez,1/22/1977,17
MIN,Ryan,Wright,5/15/1955,18
NOP,Samuel,King,2/23/1953,19
NYK,Tyler,Scott,7/27/1954,20
OKC,Uriel,Green,5/25/1965,21
ORL,Victor,Baker,9/2/1986,22
PHI,William,Adams,1/7/1978,23
PHX,Xavier,Nelson,4/13/1962,24
POR,Yosef,Hill,10/24/1961,25
SAC,Zachary,Turner,12/14/1971,26
SAS,Alejandro,Phillips,6/17/1966,27
TOR,Bruno,Campbell,6/21/1981,28
UTA,Derek,Evans,1/5/1955,29
WAS,Elliott,White,5/20/1980,30
