fName,lName,birthday,position,tName
LeBron,James,1993-02-20,PG,ATL
Kevin,Durant,2003-07-06,SG,ATL
James,Harden,1997-09-24,SF,ATL
Stephen,Curry,1993-06-07,PF,ATL
Russell,Westbrook,2004-11-16,C,ATL
Chris,Paul,2004-01-20,PG,BOS
Kyrie,Irving,1999-12-03,SG,BOS
Anthony,Davis,2004-11-05,SF,BOS
Kawhi,Leonard,1995-03-29,PF,BOS
Giannis,Antetokounmpo,1999-09-05,C,BOS
Damian,Lillard,1998-08-20,PG,BKN
Paul,George,1998-06-10,SG,BKN
Klay,Thompson,2001-07-07,SF,BKN
Joel,Embiid,1999-04-14,PF,BKN
Jimmy,Butler,1995-07-21,C,BKN
Karl,Towns,1995-03-04,PG,CHA
Blake,Griffin,2003-02-03,SG,CHA
Victor,Oladipo,1999-05-31,SF,CHA
Donovan,Mitchell,2002-10-13,PF,CHA
Devin,Booker,1994-07-26,C,CHA
Kemba,Walker,1996-06-29,PG,CHI
Kyle,Lowry,1996-12-23,SG,CHI
Bradley,Beal,1998-08-24,SF,CHI
Andre,Drummond,2002-06-12,PF,CHI
Draymond,Green,2000-11-08,C,CHI
Ben,Simmons,1997-06-21,PG,DET
Gordon,Hayward,2001-02-15,SG,DET
Tobias,Harris,2003-04-01,SF,DET
Kristaps,Porzingis,1994-10-22,PF,DET
DeMar,DeRozan,1997-02-15,C,DET
Jayson,Tatum,2002-06-30,PG,GSW
Rudy,Gobert,2000-06-22,SG,GSW
CJ,McCollum,1996-01-13,SF,GSW
John,Wall,1997-12-11,PF,GSW
Luka,Dončić,2004-10-30,C,GSW
Trae,Young,1993-01-25,PG,HOU
Zion,Williamson,2004-10-26,SG,HOU
Brandon,Ingram,1997-07-12,SF,HOU
Jamal,Murray,1996-11-22,PF,HOU
Jaylen,Brown,1998-05-28,C,HOU
Derrick,Rose,1994-03-30,PG,IND
Lonzo,Ball,2003-07-29,SG,IND
Zach,LaVine,1999-01-10,SF,IND
LaMarcus,Aldridge,2002-03-21,PF,IND
Mike,Conley,1994-06-02,C,IND
Jrue,Holiday,2003-02-23,PG,LAC
DeAndre,Jordan,1997-12-19,SG,LAC
Al,Horford,2001-04-10,SF,LAC
Aaron,Gordon,1996-02-09,PF,LAC
De'Aaron,Fox,1994-03-13,C,LAC
Buddy,Hield,1995-04-28,PG,LAL
Danilo,Gallinari,1999-12-18,SG,LAL
Serge,Ibaka,1994-06-28,SF,LAL
Clint,Capela,2003-06-12,PF,LAL
Spencer,Dinwiddie,2000-12-29,C,LAL
Jonas,Valančiūnas,2003-08-07,PG,MEM
Malcolm,Brogdon,1999-08-25,SG,MEM
Hassan,Whiteside,2004-05-23,SF,MEM
Terry,Rozier,1994-05-07,PF,MEM
Jarrett,Allen,2000-12-11,C,MEM
Domantas,Sabonis,1997-04-17,PG,MIA
Gary,Harris,2002-10-27,SG,MIA
Steven,Adams,1999-01-08,SF,MIA
Julius,Randle,1997-10-24,PF,MIA
Collin,Sexton,1997-03-08,C,MIA
Gordon,Hayward,2001-04-03,PG,MIL
Lauri,Markkanen,2004-02-25,SG,MIL
Marc,Gasol,1993-06-10,SF,MIL
Jusuf,Nurkić,1997-03-19,PF,MIL
Eric,Bledsoe,1993-08-30,C,MIL
Myles,Turner,2001-07-23,PG,MIN
Josh,Richardson,1994-06-08,SG,MIN
Joe,Ingles,2002-06-30,SF,MIN
Otto,Porter,2000-07-30,PF,MIN
Evan,Fournier,1999-03-19,C,MIN
Bojan,Bogdanović,1999-11-20,PG,NOP
Marcus,Smart,2003-12-30,SG,NOP
Dennis,Schröder,1998-10-25,SF,NOP
Andrew,Wiggins,1999-01-18,PF,NOP
R.J.,Barrett,2000-10-01,C,NOP
Luke,Kennard,2002-03-31,PG,NYK
Kelly,Oubre,1994-11-22,SG,NYK
Will,Barton,1995-05-24,SF,NYK
Montrezl,Harrell,1993-03-22,PF,NYK
Fred,VanVleet,2003-02-12,C,NYK
Reggie,Jackson,1994-07-17,PG,OKC
Robert,Covington,2002-12-25,SG,OKC
Dwight,Howard,1998-10-27,SF,OKC
Jaren,Jackson,2001-12-18,PF,OKC
Bogdan,Bogdanović,1995-03-22,C,OKC
Marvin,Bagley,1996-08-10,PG,ORL
D'Angelo,Russell,1997-05-14,SG,ORL
Tim,Hardaway,1995-06-04,SF,ORL
Ja,Morant,1996-09-01,PF,ORL
Ricky,Rubio,1996-09-29,C,ORL
Wendell,Carter,1995-01-10,PG,PHI
Thaddeus,Young,2003-02-19,SG,PHI
Jerami,Grant,1993-05-28,SF,PHI
Tristan,Thompson,2003-07-02,PF,PHI
Caris,LeVert,1994-11-07,C,PHI
Jae,Crowder,2001-08-12,PG,PHX
Derrick,Rose,1998-08-28,SG,PHX
Justise,Winslow,2003-01-09,SF,PHX
Jordan,Clarkson,2000-11-11,PF,PHX
Seth,Curry,2000-02-16,C,PHX
Danny,Green,1998-03-23,PG,POR
Patrick,Beverley,2003-08-21,SG,POR
Avery,Bradley,2000-11-23,SF,POR
Malik,Beasley,1996-06-10,PF,POR
Delon,Wright,2002-03-12,C,POR
Tyler,Herro,1996-07-15,PG,SAC
Trevor,Ariza,1999-01-06,SG,SAC
Ish,Smith,2004-02-18,SF,SAC
Doug,McDermott,1999-06-29,PF,SAC
Justin,Holiday,1996-03-01,C,SAC
Kentavious,Caldwell-Pope,2002-08-08,PG,SAS
D.J.,Augustin,1999-02-05,SG,SAS
Deonte,Burton,2001-08-05,SF,SAS
Jakob,Pöltl,2003-06-25,PF,SAS
Wesley,Matthews,1998-07-21,C,SAS
Langston,Galloway,2003-10-09,PG,TOR
Royce,O'Neale,1996-11-01,SG,TOR
Cam,Reddish,2003-06-21,SF,TOR
Frank,Ntilikina,2001-10-05,PF,TOR
Tyus,Jones,1995-06-06,C,TOR
Austin,Rivers,2002-12-23,PG,UTA
Georges,Niang,1993-01-14,SG,UTA
Taurean,Prince,2000-03-31,SF,UTA
T.J.,Warren,2001-12-27,PF,UTA
Cory,Joseph,1994-05-16,C,UTA
Thabo,Sefolosha,1996-01-11,PG,WAS
Furkan,Korkmaz,2004-06-20,SG,WAS
Nemanja,Bjelica,1996-12-22,SF,WAS
Glenn,Robinson,1995-07-17,PF,WAS
Ishmael,Smith,1995-03-11,C,WAS
Alex,Len,2003-10-14,PG,CLE
Terrence,Ross,1995-04-22,SG,CLE
Tony,Snell,2002-11-06,SF,CLE
Dante,Exum,1996-03-29,PF,CLE
Darius,Garland,2001-01-01,C,CLE
Norman,Powell,1998-07-18,PG,DAL
Tomas,Satoranský,1997-02-23,SG,DAL
Jeff,Teague,2002-07-04,SF,DAL
Elfrid,Payton,2001-09-20,PF,DAL
Derrick,Favors,1993-04-05,C,DAL
Gary,Trent,2002-10-27,PG,DEN
Cody,Martin,2000-08-29,SG,DEN
Harrison,Barnes,1994-09-27,SF,DEN
Andre,Iguodala,1995-06-16,PF,DEN
Boban,Marjanović,2003-03-06,C,DEN
