tName,fName,lName,birthday
ATL,Adam,Smith,1981-04-13
BOS,Benjamin,Johnson,1962-03-16
BKN,Charles,Williams,1951-07-10
CHA,Ethan,Jones,1982-09-20
CHI,David,Brown,1980-01-21
CLE,Frederick,Miller,1971-04-09
DAL,Gregory,Garcia,1990-02-22
DEN,Henry,Rodriguez,1963-07-19
DET,Isaac,Martinez,1958-04-11
GSW,Joseph,Hernandez,1972-10-16
HOU,Kyle,Lee,1971-04-25
IND,Lucas,Walker,1981-08-05
LAC,Matthew,Perez,1978-08-07
LAL,Nathan,Hall,1967-10-06
MEM,Owen,Young,1962-06-17
MIA,Patrick,Allen,1989-05-09
MIL,Quentin,Sanchez,1977-01-22
MIN,Ryan,Wright,1955-05-15
NOP,Samuel,King,1953-02-23
NYK,Tyler,Scott,1954-07-27
OKC,Uriel,Green,1965-05-25
ORL,Victor,Baker,1986-09-02
PHI,William,Adams,1978-01-07
PHX,Xavier,Nelson,1962-04-13
POR,Yosef,Hill,1961-10-24
SAC,Zachary,Turner,1971-12-14
SAS,Alejandro,Phillips,1966-06-17
TOR,Bruno,Campbell,1981-06-21
UTA,Derek,Evans,1955-01-05
WAS,Elliott,White,1980-05-20
