playerID,fname,lname,birthday,Position,Tname
1,Victor,Leonard,2/20/1993,PG,ATL
2,Erick,Harrington,7/6/2003,SG,ATL
3,Melvin,Reed,9/24/1997,SF,ATL
4,Dennis,Griffith,6/7/1993,PF,ATL
5,Tony,Klein,11/16/2004,C,ATL
6,Harold,Ryan,1/20/2004,PG,BOS
7,Jerry,Owens,12/3/1999,SG,BOS
8,Jason,Marsh,11/5/2004,SF,BOS
9,Carlton,Dawson,3/29/1995,PF,BOS
10,Matt,Fletcher,9/5/1999,C,BOS
11,Ralph,Robertson,8/20/1998,PG,BKN
12,Mack,Silva,6/10/1998,SG,BKN
13,Reginald,Castro,7/7/2001,SF,BKN
14,Mike,Gutierrez,4/14/1999,PF,BKN
15,Julius,Kim,7/21/1995,C,BKN
16,Clark,Romero,3/4/1995,PG,CHA
17,Simon,Webb,2/3/2003,SG,CHA
18,Blake,Green,5/31/1999,SF,CHA
19,Emilio,Robinson,10/13/2002,PF,CHA
20,Rex,Fields,7/26/1994,C,CHA
21,Dustin,Adams,6/29/1996,PG,CHI
22,Jimmy,Harris,12/23/1996,SG,CHI
23,Ronald,Walsh,8/24/1998,SF,CHI
24,Christopher,Allison,6/12/2002,PF,CHI
25,Cary,Bryan,11/8/2000,C,CHI
26,Israel,Sandoval,6/21/1997,PG,DET
27,Gerardo,Thornton,2/15/2001,SG,DET
28,Jon,Cox,4/1/2003,SF,DET
29,Brad,Huff,10/22/1994,PF,DET
30,Vincent,Guzman,2/15/1997,C,DET
31,Russell,Martin,6/30/2002,PG,GSW
32,Clarence,Brock,6/22/2000,SG,GSW
33,Ignacio,Briggs,1/13/1996,SF,GSW
34,Josh,Peters,12/11/1997,PF,GSW
35,Earnest,Stewart,10/30/2004,C,GSW
36,Marco,Taylor,1/25/1993,PG,HOU
37,Abel,Perry,10/26/2004,SG,HOU
38,Jessie,Holloway,7/12/1997,SF,HOU
39,Marcos,Logan,11/22/1996,PF,HOU
40,Dallas,Conner,5/28/1998,C,HOU
41,Gilberto,Mack,3/30/1994,PG,IND
42,Clayton,Lamb,7/29/2003,SG,IND
43,Stewart,Porter,1/10/1999,SF,IND
44,Rickey,Santos,3/21/2002,PF,IND
45,Ben,Poole,6/2/1994,C,IND
46,Eddie,Ramsey,2/23/2003,PG,LAC
47,Warren,Howell,12/19/1997,SG,LAC
48,Juan,Robbins,4/10/2001,SF,LAC
49,Roberto,Norris,2/9/1996,PF,LAC
50,Phil,Smith,3/13/1994,C,LAC
51,Shannon,Wright,4/28/1995,PG,LAL
52,Jose,Dean,12/18/1999,SG,LAL
53,Pete,Morrison,6/28/1994,SF,LAL
54,Ira,Hansen,6/12/2003,PF,LAL
55,Mark,Obrien,12/29/2000,C,LAL
56,Gene,Brooks,8/7/2003,PG,MEM
57,Frank,Carson,8/25/1999,SG,MEM
58,Corey,Alvarado,5/23/2004,SF,MEM
59,Oscar,Mcguire,5/7/1994,PF,MEM
60,Brandon,Day,12/11/2000,C,MEM
61,Danny,Jones,4/17/1997,PG,MIA
